Group Name,GroupID,StudentID,weekly_assessment_socre,num_weekly_assessment,exit_assessment_score
T1 One-to-One,406,1155,90,2,100
T1 One-to-One,406,1356,90,2,100
T1 Rational Counting,408,1047,100,2,100
T1 Rational Counting,408,1199,100,2,100
T1 Rational Counting,408,1245,100,2,100
T1 Word Awareness,409,923,55.6667,3,100
T1 Word Awareness,409,1045,50,3,0
T1 Word Awareness,409,1119,66.5,3,75
T1 Word Awareness,409,1155,66.6667,3,100
T1 Word Awareness,409,1188,66.6667,3,100
T1 Rhyme,410,1005,0,2,80
T1 Rhyme,410,1199,83.5,2,100
T1 Rhyme,410,1239,67,2,80
T1 Rhyme,410,1356,83.5,2,80
T1 Rhyme,411,906,50,2,80
T1 Rhyme,411,1047,67,2,100
T1 Rhyme,411,1142,67,2,100
T1 Rhyme,411,1298,83.5,2,80
T1 Rhyme,411,1321,67,2,80
T1 Syllables,412,1012,30,2,100
T1 Syllables,412,1245,90,2,100
T1 One-to-One,421,1189,53.3333,3,0
T1 Word Awareness,425,1158,0,2,75
T1 Word Awareness,425,1164,66.5,2,100
T1 Word Awareness,425,1350,0,2,100
T1 Word Awareness,426,1053,100,2,100
T1 Word Awareness,426,1140,100,2,100
T1 Word Awareness,426,1186,100,2,100
T1 Word Awareness,427,931,100,1,100
T1 Word Awareness,427,949,100,1,100
T1 Word Awareness,427,1033,100,1,100
T1 Word Awareness,427,1110,100,1,100
T1 Word Awareness,427,1314,100,1,100
T1 Word Awareness,427,1357,100,1,100
T1 Syllables,428,927,100,1,100
T1 Syllables,428,1092,100,1,100
T1 Syllables,428,1147,100,1,100
T1 Syllables,428,1302,100,1,100
T1 Rational Counting,438,1452,67,1,100
T1 Rational Counting,439,1222,0,1,40
T1 Rational Counting,439,1420,100,1,100
T1 Rational Counting,440,912,33,1,40
T1 Rational Counting,440,1029,33,1,40
T1 Rational Counting,440,1403,83,1,100
T1 Word Awareness,441,1103,100,3,100
T1 Word Awareness,441,1297,66.6667,3,75
T1 Rational Counting,456,911,100,1,80
T1 Rational Counting,456,1146,67,1,33
T1 Rational Counting,456,1200,100,1,33
T1 Rational Counting,456,1369,60,1,0
T1 Rational Counting,456,1473,100,1,80
T1 Rational Counting,471,965,33,1,40
T1 Rational Counting,471,1042,100,1,100
T1 Rational Counting,471,1320,33,1,20
T1 Rational Counting,471,1478,100,1,100
T1 Rational Counting,471,1485,83,1,60
T1 Rhyme,475,963,100,1,100
T1 Rhyme,475,1328,100,1,50
T1 Rhyme,475,1330,100,1,25
T1 Rhyme,475,1434,67,1,50
T1 Rhyme,475,1502,100,1,100
T1 Expression: Descriptive Language,479,1328,80,1,100
T1 Expression: Descriptive Language,479,1373,80,1,100
T1 Expression: Descriptive Language,479,1478,40,1,67
T1 Expression: Descriptive Language,479,1502,100,1,100
T1 Expression: Descriptive Language,480,963,100,1,100
T1 Expression: Descriptive Language,480,1139,100,1,100
T1 Expression: Descriptive Language,480,1163,100,1,100
T1 One-to-One,486,903,50,3,50
T1 One-to-One,486,905,100,3,100
T1 One-to-One,486,966,100,3,100
T1 One-to-One,486,974,100,3,100
T1 One-to-One,486,1412,100,3,100
T1 One-to-One,486,1437,100,3,100
T1 Rational Counting,487,1463,89,3,100
T1 Word Awareness,490,959,77.6667,3,100
T1 Word Awareness,490,970,83.5,3,50
T1 Word Awareness,490,1161,83.5,3,25
T1 Word Awareness,490,1334,100,3,100
T1 Word Awareness,490,1412,50,3,100
T1 Word Awareness,490,1454,78,3,50
T1 Word Awareness,491,905,83.5,3,100
T1 Word Awareness,491,919,33.3333,3,50
T1 Word Awareness,491,966,44.3333,3,50
T1 Word Awareness,491,1463,55.6667,3,100
T1 Rhyme,492,961,33.25,4,20
T1 Rhyme,492,1346,55.3333,4,20
T1 Rhyme,493,1374,89,3,80
T1 Oral Comprehension,494,966,100,2,20
T1 Oral Comprehension,494,974,100,2,100
T1 Expression: Descriptive Language,495,916,100,2,80
T1 Expression: Descriptive Language,495,919,80,2,40
T1 Expression: Descriptive Language,495,920,90,2,80
T1 Expression: Descriptive Language,495,961,90,2,80
T1 Expression: Descriptive Language,495,1161,80,2,80
T1 Expression: Descriptive Language,496,970,100,2,80
T1 Expression: Descriptive Language,496,1334,100,2,100
T1 Expression: Descriptive Language,496,1346,80,2,80
T1 Expression: Descriptive Language,496,1412,100,2,80
T1 Expression: Descriptive Language,496,1454,80,2,80
T1 Expression: Descriptive Language,496,1463,60,2,80
T1 One-to-One,502,890,100,4,100
T1 One-to-One,502,924,40,4,25
T1 One-to-One,502,999,100,4,100
T1 One-to-One,502,1221,100,4,100
T1 One-to-One,502,1246,100,4,100
T1 Rational Counting,504,1464,50,3,60
T1 Word Awareness,506,890,100,4,100
T1 Word Awareness,506,924,75,4,75
T1 Word Awareness,506,999,100,4,100
T1 Word Awareness,506,1246,100,4,100
T1 Phonemes,509,1237,100,2,100
T1 One-to-One,518,4,100,1,100
T1 One-to-One,518,23,0,1,100
T1 One-to-One,518,50,100,1,100
T1 One-to-One,518,54,100,1,100
T1 One-to-One,518,56,100,1,100
T1 One-to-One,518,1515,60,1,100
T1 One-to-One,519,15,100,1,100
T1 One-to-One,519,32,100,1,100
T1 One-to-One,519,73,100,1,100
T1 Word Awareness,522,15,83.5,2,100
T1 Word Awareness,522,52,100,2,75
T1 Word Awareness,522,56,100,2,75
T1 Word Awareness,522,73,100,2,25
T1 Word Awareness,522,81,83.5,2,100
T1 Word Awareness,522,87,100,2,100
T1 Word Awareness,523,14,66.5,2,50
T1 Word Awareness,523,17,100,2,75
T1 Word Awareness,523,36,100,2,100
T1 Word Awareness,523,62,66.5,2,25
T1 Word Awareness,523,63,50,2,75
T1 Oral Comprehension,526,23,100,1,20
T1 Oral Comprehension,526,63,100,1,80
T1 Oral Comprehension,526,81,100,1,20
T1 Oral Comprehension,526,87,100,1,60
T1 Oral Comprehension,526,1646,100,1,0
T1 Oral Comprehension,527,15,100,1,100
T1 Oral Comprehension,527,18,100,1,80
T1 Oral Comprehension,527,21,100,1,80
T1 Oral Comprehension,527,36,100,1,80
T1 Oral Comprehension,527,45,100,1,100
T1 Oral Comprehension,528,52,100,1,80
T1 Oral Comprehension,528,56,100,1,40
T1 Oral Comprehension,528,62,40,1,80
T1 Oral Comprehension,528,64,100,1,100
T1 Oral Comprehension,528,70,100,1,80
T1 Oral Comprehension,528,1515,80,1,60
T1 One-to-One,534,3,100,1,100
T1 One-to-One,534,30,100,1,100
T1 One-to-One,534,41,100,1,100
T1 One-to-One,534,100,100,1,100
T1 One-to-One,534,679,100,1,100
T1 One-to-One,535,8,100,1,100
T1 One-to-One,535,39,100,1,100
T1 One-to-One,535,53,100,1,100
T1 One-to-One,535,57,100,1,100
T1 Word Awareness,538,3,100,1,100
T1 Word Awareness,538,25,100,1,50
T1 Word Awareness,538,48,100,1,75
T1 Word Awareness,538,69,100,1,75
T1 Word Awareness,539,25,100,1,100
T1 Word Awareness,539,35,100,2,75
T1 Rhyme,540,5,66.5,2,100
T1 Rhyme,540,33,67,2,20
T1 Rhyme,540,44,66.5,2,60
T1 Rhyme,540,83,66.5,2,60
T1 Rhyme,540,85,66.5,2,20
T1 Rhyme,540,100,83.5,2,60
T1 Rhyme,541,8,33,1,60
T1 Rhyme,541,20,33,1,80
T1 Rhyme,541,30,100,1,60
T1 Rhyme,541,53,67,1,100
T1 Rhyme,541,68,33,1,100
T1 Rhyme,541,679,0,1,40
T1 One-to-One,550,40,100,2,75
T1 One-to-One,550,72,100,2,100
T1 One-to-One,550,82,80,2,75
T1 One-to-One,550,92,100,2,100
T1 One-to-One,550,680,100,2,100
T1 Rational Counting,552,74,83,2,100
T1 Rational Counting,552,99,100,2,100
T1 Rational Counting,552,681,100,2,100
T1 Word Awareness,554,11,100,1,100
T1 Word Awareness,554,72,67,1,75
T1 Rational Counting,568,47,100,1,100
T1 Rational Counting,568,59,100,1,100
T1 Rational Counting,568,65,100,1,100
T1 Rational Counting,568,75,100,1,100
T1 Rational Counting,568,86,100,1,100
T1 Rational Counting,568,97,100,1,100
T1 Word Awareness,570,22,89,3,50
T1 Word Awareness,570,65,83.5,3,100
T1 Word Awareness,570,77,66.6667,3,0
T1 Word Awareness,570,78,78,3,75
T1 Word Awareness,570,86,100,3,100
T1 Word Awareness,570,91,100,3,100
T1 Word Awareness,571,55,66.5,2,100
T1 Rhyme,572,47,66.6667,3,60
T1 Rhyme,572,60,100,3,80
T1 Rhyme,572,77,16.5,2,40
T1 Rhyme,572,687,100,2,100
T1 One-to-One,582,31,58.3333,3,0
T1 One-to-One,582,38,100,3,75
T1 One-to-One,582,66,80,3,25
T1 One-to-One,582,71,80,3,50
T1 Word Awareness,586,6,100,3,100
T1 Word Awareness,586,7,100,3,100
T1 Word Awareness,586,31,100,3,100
T1 Word Awareness,586,66,100,3,100
T1 Word Awareness,586,67,100,3,100
T1 Word Awareness,587,13,100,3,100
T1 Word Awareness,587,71,89,3,100
T1 Word Awareness,587,89,100,3,100
T1 Word Awareness,587,686,100,3,100
T1 Rhyme,588,6,67,1,80
T1 Rhyme,588,24,100,1,60
T1 Rhyme,588,38,100,2,60
T1 Rhyme,588,51,100,2,40
T1 Rhyme,588,66,100,1,40
T1 Rhyme,588,79,100,1,100
T1 Rhyme,588,84,100,1,0
T1 Rhyme,588,89,33,1,20
T1 Rhyme,588,90,100,1,100
T1 Rhyme,589,1,100,1,100
T1 Rhyme,589,2,100,1,100
T1 Rhyme,589,9,100,1,100
T1 Rhyme,589,80,100,1,100
T1 Rhyme,589,98,100,1,100
T1 One-to-One,663,499,100,1,100
T1 One-to-One,663,502,100,1,100
T1 One-to-One,663,511,100,1,100
T1 One-to-One,663,515,100,1,100
T1 One-to-One,663,525,100,1,100
T1 Rational Counting,664,487,100,3,100
T1 Rational Counting,664,684,100,3,100
T1 Rational Counting,665,517,100,2,100
T1 Rational Counting,665,524,100,2,100
T1 Word Awareness,666,502,100,2,100
T1 Word Awareness,666,505,50,2,25
T1 Word Awareness,666,542,100,2,25
T1 Word Awareness,667,499,100,2,100
T1 Word Awareness,667,515,100,2,100
T1 Word Awareness,667,529,100,2,100
T1 Word Awareness,667,538,83.5,2,100
T1 Oral Comprehension,670,466,100,2,80
T1 Oral Comprehension,670,474,100,2,80
T1 Oral Comprehension,670,502,100,2,100
T1 Oral Comprehension,670,529,100,2,100
T1 Oral Comprehension,670,1658,80,1,80
T1 Oral Comprehension,671,487,100,2,100
T1 Oral Comprehension,671,493,100,2,80
T1 Oral Comprehension,671,517,100,2,100
T1 Oral Comprehension,671,542,80,2,60
T1 Oral Comprehension,671,683,100,2,100
T1 Expression: Descriptive Language,672,511,90,2,20
T1 Expression: Descriptive Language,672,515,100,2,100
T1 Expression: Descriptive Language,672,533,90,2,80
T1 Expression: Descriptive Language,672,684,90,2,100
T1 Expression: Descriptive Language,673,499,100,2,100
T1 Expression: Descriptive Language,673,524,100,2,100
T1 Expression: Descriptive Language,673,525,90,2,100
T1 Expression: Descriptive Language,673,528,90,2,100
T1 Expression: Descriptive Language,673,538,50,2,100
T1 One-to-One,678,462,100,1,100
T1 One-to-One,678,472,60,1,75
T1 One-to-One,678,483,80,1,100
T1 One-to-One,678,518,100,1,100
T1 One-to-One,678,526,80,1,50
T1 Rhyme,700,467,100,1,80
T1 Rhyme,700,510,100,1,100
T1 Rhyme,700,516,33,1,100
T1 Rhyme,700,523,100,1,100
T1 Rhyme,700,539,100,1,100
T1 Rhyme,700,540,100,1,100
T1 Rhyme,701,476,100,1,100
T1 Rhyme,701,485,67,1,100
T1 Rhyme,701,497,67,1,100
T1 Rhyme,701,506,67,1,60
T1 One-to-One,710,492,100,3,100
T1 One-to-One,710,704,100,3,100
T1 Rational Counting,711,465,100,2,100
T1 Rational Counting,711,475,100,2,100
T1 Rational Counting,711,480,100,2,100
T1 Rational Counting,711,501,100,2,100
T1 Rational Counting,711,507,100,2,100
T1 Rational Counting,711,520,100,2,100
T1 Word Awareness,714,492,67,1,100
T1 Word Awareness,715,496,0,2,100
T1 Word Awareness,715,520,33,2,75
T1 Word Awareness,715,704,100,2,100
T1 One-to-One,747,711,60,1,100
T1 One-to-One,747,712,100,1,100
T1 One-to-One,747,738,100,1,100
T1 Oral Comprehension,756,720,100,1,80
T1 Oral Comprehension,756,723,80,1,80
T1 Oral Comprehension,756,724,100,1,100
T1 Oral Comprehension,756,738,100,1,80
T1 Expression: Descriptive Language,757,710,60,1,80
T1 Expression: Descriptive Language,757,712,60,1,80
T1 Expression: Descriptive Language,757,717,100,1,100
T1 Expression: Descriptive Language,757,722,80,1,100
T1 Rational Counting,766,728,100,1,100
T1 Rational Counting,766,732,100,1,100
T1 Rational Counting,766,740,100,1,100
T1 Rational Counting,767,731,100,1,100
T1 Rational Counting,767,735,100,1,100
T1 Rational Counting,767,1596,100,1,100
T1 Rational Counting,767,1600,67,1,60
T1 Word Awareness,769,730,83.5,2,75
T1 Word Awareness,769,734,83.5,2,0
T1 Word Awareness,769,737,100,2,75
T1 Word Awareness,769,741,100,2,50
T1 Word Awareness,769,1600,100,1,75
T1 Word Awareness,770,728,66.5,2,75
T1 Word Awareness,770,735,83.5,2,75
T1 Word Awareness,770,736,0,2,0
T1 Word Awareness,770,742,100,2,75
T1 Word Awareness,770,1596,100,1,50
T1 Rhyme,771,729,50,2,40
T1 Rhyme,771,732,100,1,60
T1 Rhyme,772,731,100,1,60
T1 Rhyme,772,739,100,1,60
T1 Rhyme,772,740,66.5,2,40
T1 Rhyme,772,881,100,1,20
T1 Word Awareness,786,747,100,2,100
T1 Word Awareness,786,755,50,2,100
T1 Word Awareness,786,757,100,2,100
T1 Word Awareness,786,761,100,2,100
T1 Word Awareness,802,763,67,1,75
T1 Word Awareness,802,766,100,1,100
T1 Word Awareness,802,767,100,1,75
T1 Word Awareness,802,772,100,1,100
T1 Word Awareness,803,771,100,1,100
T1 Word Awareness,803,777,67,1,100
T1 Word Awareness,803,778,67,1,75
T1 Rhyme,804,762,100,1,100
T1 Rhyme,804,769,67,1,80
T1 Rhyme,804,770,67,1,100
T1 Rhyme,804,774,100,1,100
T1 Rhyme,804,781,100,1,100
T1 Rhyme,804,884,100,1,80
T1 Syllables,805,765,100,1,80
T1 Syllables,805,773,100,1,100
T1 Syllables,805,775,80,1,100
T1 Syllables,805,776,80,1,100
T1 Syllables,805,780,100,1,100
T1 Word Awareness,848,342,100,2,100
T1 Word Awareness,848,344,100,2,100
T1 Word Awareness,848,348,100,2,75
T1 Word Awareness,848,369,75,2,75
T1 Word Awareness,849,345,100,3,100
T1 Word Awareness,849,351,100,3,0
T1 Word Awareness,849,361,100,3,75
T1 Word Awareness,850,346,100,2,75
T1 Word Awareness,850,354,100,2,75
T1 Word Awareness,850,365,100,2,100
T1 Word Awareness,850,368,100,2,100
T1 Word Awareness,850,374,100,2,67
T1 Rhyme,851,343,33,1,60
T1 Rhyme,851,359,100,1,100
T1 Rhyme,851,360,100,1,100
T1 Rhyme,851,370,100,1,100
T1 Rhyme,851,878,67,1,80
T1 One-to-One,893,791,100,1,100
T1 One-to-One,893,793,100,1,100
T1 One-to-One,893,797,100,1,100
T1 One-to-One,893,825,100,1,100
T1 One-to-One,893,826,100,1,100
T1 One-to-One,894,796,100,1,100
T1 One-to-One,894,798,100,1,100
T1 Word Awareness,897,788,100,3,75
T1 Word Awareness,897,826,100,3,50
T1 Word Awareness,898,795,100,3,75
T1 Word Awareness,898,805,67,3,100
T1 Word Awareness,898,822,66.6667,3,50
T1 Rhyme,900,788,100,1,60
T1 Rhyme,900,791,33,1,20
