Group Exit Status,Classroom,Subject,exited_at,GroupID,Group Name,Number of Students,T1,DIP/T2/T3,First Lesson Date,Last Lesson Date,Number of Lesson of Type L(Lesson),Number of Lesson of Type R(Reteach),Number of Lesson of Type C(custom),Total Lesson Taught,Last Lesson Enter,Number of Weekly Assessments,Exit Assessments Given,,
Close,CH2,Literacy,10/21/15,21,T1 Word Awareness,6,6,0,9/14/15,10/8/15,10,0,0,10,3.2,1,Yes,,
Close,CH2,Literacy,11/9/15,22,T1 Word Awareness,7,7,0,9/14/15,11/3/15,13,1,0,14,4.1,0,Yes,,
Close,CH2,Literacy,11/9/15,23,T1 Rhyme,5,5,0,9/14/15,11/3/15,9,4,0,13,3.1,0,Yes,,
Close,CH2,Literacy,2/1/16,24,T1 Rhyme,8,8,0,9/14/15,12/10/15,12,4,0,16,4.1,0,Yes,,
Open,LP1,Math,NULL,2876,T1 Rational Counting,2,2,0,2/23/16,3/18/16,6,0,0,6,3.1,0,Yes,,
Open,CH5,Math,NULL,2407,T1 Rote Counting,5,1,4,2/1/16,3/18/16,14,9,0,23,4.41,3,No,,
Open,CH5,Math,NULL,2363,T2 Number Symbols,6,1,5,2/3/16,3/18/16,14,0,0,14,5.1,2,No,,
Open,CH3,ELL,NULL,2736,T1 ELL Units 7-8 DIP,1,0,1,2/16/16,3/18/16,0,0,0,0,NULL,5,No,,
Close,CH2,Social Emotional,NULL,29,T1 SED PS Units 1-5,4,4,0,10/13/15,10/13/15,1,0,0,1,3.2,0,No,,
Close,CH2,Social Emotional,NULL,30,T1 SED PS Units 1-5,5,5,0,10/13/15,10/13/15,1,0,0,1,3.2,0,No,,
Close,CH3,Math,10/21/15,33,T1 One-to-One,5,5,0,9/15/15,10/19/15,22,0,0,22,4.2,1,Yes,,
Close,CH3,Math,10/21/15,34,T1 One-to-One,4,4,0,9/14/15,10/19/15,22,0,0,22,4.3,1,Yes,,
Close,CH3,Math,10/21/15,35,T1 One-to-One,4,4,0,9/14/15,10/19/15,25,1,0,26,4.3,0,Yes,,
Close,CH3,Math,10/21/15,36,T1 Rational Counting,7,7,0,9/16/15,10/21/15,28,0,0,28,4.3,1,Yes,,
Close,CH3,Literacy,10/20/15,37,T1 Word Awareness,6,6,0,9/15/15,10/16/15,13,0,0,13,4.3,0,Yes,,
Close,CH3,Literacy,10/20/15,38,T1 Word Awareness,5,5,0,9/15/15,10/16/15,12,0,0,12,4.3,0,Yes,,
Close,CH3,Literacy,2/1/16,39,T1 Rhyme,4,4,0,9/15/15,12/17/15,12,7,0,19,3.31,0,Yes,,
Close,CH3,Literacy,2/1/16,40,T1 Rhyme,5,5,0,9/15/15,2/1/16,13,6,0,19,3.3,0,Yes,,
Open,SW2,ELL,NULL,2744,T2 ELL Units 7-8,2,0,2,2/16/16,3/18/16,13,3,0,16,5.3,5,No,,
Open,CH3,Literacy,NULL,2948,T1 Phonemes,2,2,0,3/18/16,3/18/16,6,0,0,6,2.3,0,No,,
Open,CH6,Language,NULL,2989,T1 Vocabulary,5,5,0,3/18/16,3/18/16,2,0,0,2,1.2,0,No,,
Open,CH6,Language,NULL,2990,T1 Vocabulary,6,6,0,3/18/16,3/18/16,2,0,0,2,1.2,0,No,,
Close,CH3,Social Emotional,NULL,45,T1 SED PS Units 1-5,3,3,0,12/9/15,12/9/15,5,0,0,5,2.3,0,No,,
Close,CH3,Social Emotional,NULL,46,T1 SED PS Units 1-5,4,4,0,12/9/15,12/9/15,4,0,0,4,2.3,0,No,,
Close,CH3,Social Emotional,NULL,47,T1 SED PS Units 1-5,5,5,0,12/9/15,12/9/15,4,0,0,4,2.3,0,No,,
Close,CH3,Social Emotional,NULL,48,T1 SED PS Units 1-5,6,6,0,12/9/15,12/9/15,5,0,0,5,2.3,0,No,,
Close,CH4,Math,12/11/15,49,T1 One-to-One,5,5,0,9/14/15,10/29/15,14,6,0,20,3.41,0,No,,
Close,CH4,Math,12/11/15,50,T1 One-to-One,5,5,0,9/14/15,10/29/15,12,3,0,15,3.3,0,No,,
Close,CH4,Math,12/11/15,51,T1 Rational Counting,6,6,0,9/14/15,11/3/15,14,0,0,14,3.5,1,Yes,,
Close,CH4,Math,12/11/15,52,T1 Rational Counting,6,6,0,9/14/15,11/3/15,8,0,0,8,3.5,1,No,,
Close,CH4,Literacy,11/9/15,53,T1 Word Awareness,6,6,0,9/14/15,10/29/15,12,0,0,12,3.2,0,Yes,,
Close,CH4,Literacy,11/9/15,54,T1 Word Awareness,6,6,0,9/14/15,10/27/15,9,0,0,9,3.2,0,Yes,,
Close,CH4,Literacy,11/9/15,55,T1 Rhyme,4,4,0,9/14/15,10/29/15,8,0,0,8,3.1,0,Yes,,
Close,CH4,Literacy,11/10/15,56,T1 Rhyme,5,5,0,9/14/15,11/4/15,13,2,0,15,4.2,0,Yes,,
Open,CH6,Language,NULL,3023,T1 Expression: Ask & Answer,3,3,0,3/18/16,3/18/16,2,0,0,2,1.2,0,No,,
Open,DK2,Literacy,NULL,2967,T1 Compound Words,6,6,0,3/7/16,3/18/16,3,0,0,3,2.1,0,No,,
Open,CH6,Language,NULL,3026,T1 Expression: Ask & Answer,4,4,0,3/18/16,3/18/16,2,0,0,2,1.2,0,No,,
Open,DK2,Literacy,NULL,2968,T1 Compound Words,5,5,0,3/7/16,3/18/16,5,0,0,5,2.1,0,No,,
Close,CH5,Math,10/30/15,65,T1 One-to-One,1,1,0,9/14/15,10/30/15,19,5,0,24,4.5,3,Yes,,
Close,CH5,Math,10/30/15,66,T1 Rational Counting,5,5,0,9/14/15,10/30/15,24,3,0,27,5.51,1,Yes,,
Close,CH5,Math,10/30/15,67,T1 Rational Counting,5,5,0,9/14/15,10/30/15,36,7,0,43,5.5111,5,Yes,,
Close,CH5,Math,10/30/15,68,T1 Rational Counting,4,4,0,9/14/15,10/30/15,26,8,0,34,5.51111,6,Yes,,
Close,CH5,Math,10/30/15,69,T1 Rational Counting,5,5,0,9/14/15,10/30/15,18,4,0,22,5.511,1,Yes,,
Close,CH5,Literacy,11/3/15,70,T1 Word Awareness,6,6,0,9/14/15,10/29/15,14,4,0,18,4.3,7,Yes,,
Close,CH5,Literacy,11/3/15,71,T1 Rhyme,5,5,0,9/14/15,11/3/15,14,9,0,23,3.21111111,2,Yes,,
Close,CH5,Literacy,11/3/15,72,T1 Rhyme,5,5,0,9/14/15,11/3/15,11,11,0,22,3.31,2,Yes,,
Close,CH5,Literacy,11/3/15,73,T1 Syllables,4,4,0,9/14/15,11/3/15,15,4,0,19,4.31,6,Yes,,
Close,CH5,Language,11/19/15,74,T1 Oral Comprehension,6,5,1,9/17/15,11/18/15,14,0,0,14,4.2,5,Yes,,
Close,CH5,Language,11/19/15,75,T1 Expression: Descriptive Language,5,5,0,9/18/15,11/18/15,16,1,0,17,3.3,6,Yes,,
Close,CH5,Language,11/19/15,76,T1 Expression: Descriptive Language,4,4,0,9/18/15,11/18/15,9,0,0,9,3.3,3,Yes,,
Close,CH5,Language,11/19/15,77,T1 Expression: Descriptive Language,5,5,0,9/18/15,11/18/15,11,0,0,11,3.3,4,Yes,,
Close,CH6,Math,11/9/15,82,T1 Rational Counting,5,5,0,9/14/15,10/20/15,11,8,0,19,5.311,2,Yes,,
Close,CH6,Math,11/29/15,83,T1 Rational Counting,5,5,0,9/14/15,10/6/15,10,1,0,11,5.3,3,Yes,,
Close,CH6,Math,11/29/15,84,T1 Rational Counting,5,5,0,9/14/15,10/6/15,10,1,0,11,5.3,9,Yes,,
Close,CH6,Math,11/29/15,85,T1 Addition Strategies,5,5,0,9/14/15,10/27/15,18,0,0,18,6.2,0,Yes,,
Close,CH6,Literacy,11/9/15,86,T1 Word Awareness,3,3,0,9/14/15,10/6/15,12,0,0,12,4.3,0,Yes,,
Close,CH6,Literacy,11/9/15,87,T1 Rhyme,7,7,0,9/14/15,10/8/15,12,0,0,12,4.3,0,Yes,,
Close,CH6,Literacy,11/9/15,88,T1 Syllables,5,5,0,9/14/15,10/21/15,13,2,0,15,4.1,0,Yes,,
Close,CH6,Literacy,11/9/15,89,T1 Phonemes,5,5,0,9/14/15,10/20/15,16,2,0,18,5.31,0,Yes,,
Close,CH6,Language,3/18/16,90,T1 Expression: Descriptive Language,4,4,0,9/20/15,2/25/16,10,0,0,10,3.3,0,No,,
Close,CH6,Language,3/18/16,91,T1 Expression: Descriptive Language,4,4,0,9/20/15,2/25/16,9,0,0,9,3.3,0,No,,
Close,CH6,Language,3/10/16,92,T1 Conversations,6,6,0,9/20/15,2/25/16,10,0,0,10,3.3,0,No,,
Close,CH6,Language,3/18/16,93,T1 Conversations,6,6,0,9/20/15,2/25/16,10,0,0,10,3.3,0,No,,
Close,CH6,Social Emotional,NULL,94,T1 SED PK Units 1-5,4,4,0,9/28/15,11/5/15,8,0,0,8,4.1,0,No,,
Close,CH6,Social Emotional,NULL,95,T1 SED PK Units 1-5,4,4,0,9/28/15,11/5/15,9,0,0,9,4.1,0,No,,
Close,CH6,Social Emotional,NULL,96,T1 SED PK Units 1-5,6,6,0,9/28/15,11/5/15,9,0,0,9,4.1,0,No,,
Close,CH6,Social Emotional,NULL,97,T1 SED PK Units 1-5,6,6,0,9/28/15,11/5/15,9,0,0,9,4.1,0,No,,
Open,PL1,Literacy,NULL,2547,T2 Rhyme,4,0,4,2/9/16,3/18/16,9,2,0,11,3.31,1,No,,
Close,CH7,Math,11/16/15,99,T1 Rational Counting,6,6,0,9/14/15,11/2/15,15,0,0,15,3.5,1,Yes,,
Close,CH7,Math,11/16/15,100,T1 Rational Counting,5,5,0,9/14/15,11/2/15,15,0,0,15,3.5,1,Yes,,
Open,DK2,Literacy,NULL,2969,T1 Compound Words,5,5,0,3/7/16,3/18/16,4,0,0,4,2.1,0,No,,
Close,CH7,Math,11/16/15,102,T1 Addition Strategies,3,3,0,9/14/15,11/2/15,11,1,0,12,3.1,0,Yes,,
Close,CH7,Literacy,11/9/15,103,T1 Word Awareness,5,5,0,9/14/15,10/20/15,13,0,0,13,4.3,0,Yes,,
Close,CH7,Literacy,10/28/15,104,T1 Rhyme,5,5,0,9/14/15,10/5/15,7,1,0,8,3.1,0,Yes,,
Close,CH7,Literacy,10/28/15,105,T1 Syllables,4,4,0,9/14/15,10/5/15,8,0,0,8,3.2,0,Yes,,
Close,CH7,Literacy,11/9/15,106,T1 Phonemes,6,6,0,9/15/15,10/20/15,7,1,0,8,3.1,0,Yes,,
Open,OK3,Literacy,NULL,2608,T1 Rhyme,4,0,4,2/4/16,3/18/16,5,11,0,16,3.111,1,Yes,,
Open,DK2,Literacy,NULL,2319,T2 Rhyme,2,0,2,2/2/16,3/18/16,18,2,0,20,6.2,3,No,,
Open,OK3,Literacy,NULL,2614,T1 Rhyme,4,4,0,2/4/16,3/18/16,6,11,0,17,3.311,1,No,,
Open,CH5,Language,NULL,1795,T1 Oral Comprehension,3,3,0,11/20/15,3/18/16,12,1,1,14,4.311,5,No,,
Close,CH7,Social Emotional,NULL,111,T1 SED PK Units 1-5,4,4,0,9/25/15,10/8/15,3,0,0,3,3.1,0,No,,
Close,CH7,Social Emotional,NULL,112,T1 SED PK Units 1-5,6,6,0,9/25/15,10/8/15,3,0,0,3,3.1,0,No,,
Close,CH7,Social Emotional,NULL,113,T1 SED PK Units 1-5,6,6,0,9/25/15,10/8/15,4,0,0,4,3.1,0,No,,
Close,CH7,Social Emotional,NULL,114,T1 SED PK Units 1-5,4,4,0,9/25/15,10/8/15,3,0,0,3,3.1,0,No,,
Close,CH8,Math,11/8/15,115,T1 One-to-One,4,4,0,9/20/15,10/1/15,11,1,0,12,3.1,2,Yes,,
Close,CH8,Math,11/8/15,116,T1 Rational Counting,5,5,0,9/20/15,10/7/15,14,0,0,14,3.3,0,Yes,,
Close,CH8,Math,11/8/15,117,T1 Rational Counting,5,5,0,9/20/15,10/1/15,11,0,0,11,3.2,0,Yes,,
Close,CH8,Math,11/8/15,118,T1 Rational Counting,4,4,0,9/20/15,10/2/15,8,0,0,8,2.4,0,Yes,,
Close,CH8,Literacy,2/1/16,119,T1 Rhyme,9,9,0,9/21/15,11/23/15,16,17,0,33,4.2,5,Yes,,
Close,CH8,Literacy,2/1/16,120,T1 Rhyme,10,10,0,9/23/15,11/19/15,16,10,0,26,5.111,4,Yes,,
Close,CH8,Literacy,11/9/15,121,T1 Syllables,6,6,0,9/24/15,11/3/15,13,4,0,17,4.3,1,Yes,,
Close,CH8,Literacy,1/28/16,122,T1 Phonemes,6,6,0,9/25/15,12/1/15,15,4,0,19,5.31,1,Yes,,
Open,LP1,Literacy,NULL,2368,T1 Phonemes,4,4,0,2/4/16,3/18/16,11,9,0,20,4.1,0,Yes,,
Open,CH8,Literacy,NULL,2970,T1 Phonemes,2,2,0,3/16/16,3/18/16,3,0,0,3,1.3,0,No,,
Open,LP2,Literacy,NULL,2574,T2 Rhyme,5,2,3,2/5/16,3/18/16,20,0,0,20,5.3,4,No,,
Open,OK3,Literacy,NULL,2617,T1 Phonemes,6,6,0,2/4/16,3/18/16,16,3,0,19,4.2,1,Yes,,
Close,SW1,Math,2/24/16,131,T1 One-to-One,4,4,0,9/14/15,10/5/15,5,2,0,7,2.2,0,Yes,,
Close,SW1,Math,10/27/15,132,T1 One-to-One,5,5,0,9/14/15,10/5/15,6,0,0,6,2.3,0,Yes,,
Close,SW1,Math,10/27/15,133,T1 Rational Counting,4,4,0,9/14/15,10/5/15,8,0,0,8,2.3,0,Yes,,
Close,SW1,Math,10/27/15,134,T1 Rational Counting,4,4,0,9/14/15,10/5/15,7,0,0,7,2.3,0,Yes,,
Close,SW1,Literacy,10/28/15,135,T1 Word Awareness,3,3,0,9/14/15,9/29/15,7,0,0,7,2.3,2,No,,
Close,SW1,Literacy,10/28/15,136,T1 Word Awareness,4,4,0,9/14/15,9/29/15,7,0,0,7,2.3,1,No,,
Close,SW1,Literacy,12/21/15,137,T1 Rhyme,5,5,0,9/14/15,12/21/15,22,21,0,43,5.311,0,Yes,,
Close,SW1,Literacy,12/21/15,138,T1 Rhyme,5,5,0,9/14/15,12/21/15,14,21,0,35,4.3111,0,Yes,,
Close,SW1,Language,11/30/15,139,T1 Oral Comprehension,3,3,0,9/17/15,11/30/15,6,0,0,6,2.3,1,Yes,,
Close,SW1,Language,11/30/15,140,T1 Oral Comprehension,3,3,0,9/18/15,11/30/15,8,0,0,8,3.1,0,Yes,,
Close,SW1,Language,11/2/15,141,T1 Expression: Descriptive Language,6,6,0,9/18/15,11/2/15,8,0,0,8,2.3,0,Yes,,
Close,SW1,Language,11/30/15,142,T1 Expression: Descriptive Language,5,5,0,9/18/15,11/30/15,8,0,0,8,3.1,0,Yes,,
Close,SW1,Social Emotional,NULL,143,T1 SED PS Units 1-5,3,3,0,9/18/15,9/18/15,2,0,0,2,2.1,0,No,,
Close,SW1,Social Emotional,NULL,144,T1 SED PS Units 1-5,3,3,0,9/18/15,9/18/15,2,0,0,2,1.1,0,No,,
Close,SW1,Social Emotional,NULL,145,T1 SED PS Units 1-5,6,6,0,9/18/15,9/18/15,1,0,0,1,1.1,0,No,,
Close,SW1,Social Emotional,NULL,146,T1 SED PS Units 1-5,5,5,0,9/18/15,9/18/15,1,0,0,1,1.1,0,No,,
Close,SW1,ELL,NULL,147,T2 ELL Weeks 1-5,1,0,1,10/13/15,10/21/15,15,0,0,15,5.3,0,No,,
Close,SW2,Math,10/20/15,148,T1 One-to-One,5,5,0,9/14/15,10/13/15,8,0,0,8,3.1,0,Yes,,
Close,SW2,Math,10/20/15,149,T1 One-to-One,5,5,0,9/14/15,10/13/15,8,0,0,8,3.1,0,Yes,,
Close,SW2,Math,10/20/15,151,T1 Rational Counting,5,5,0,9/16/15,10/20/15,19,0,0,19,4.1,0,Yes,,
Close,SW2,Literacy,2/24/16,152,T1 Word Awareness,4,4,0,9/16/15,10/1/15,7,0,0,7,2.3,0,Yes,,
Open,CH5,Language,NULL,1796,T1 Expression: Descriptive Language,6,6,0,11/20/15,3/18/16,9,2,0,11,3.311,4,Yes,,
Open,CH3,Math,NULL,2514,T1 Quantification,5,5,0,2/5/16,3/18/16,16,0,0,16,5.2,1,Yes,,
Open,CH1,ELL,NULL,2734,T2 ELL Units 7-8,1,0,1,2/22/16,3/17/16,14,0,0,14,5.2,4,No,,
Close,SW2,Language,11/13/15,156,T1 Oral Comprehension,5,5,0,9/15/15,11/13/15,8,0,0,8,2.3,0,Yes,,
Close,SW2,Language,11/13/15,157,T1 Oral Comprehension,5,5,0,9/15/15,11/13/15,7,0,0,7,2.3,0,Yes,,
Close,SW2,Language,11/13/15,158,T1 Oral Comprehension,6,6,0,9/15/15,11/13/15,6,0,0,6,2.3,0,Yes,,
Close,SW2,Language,11/13/15,159,T1 Expression: Descriptive Language,6,6,0,9/24/15,11/6/15,9,0,0,9,2.3,0,Yes,,
Close,SW2,Social Emotional,NULL,160,T1 SED PS Units 1-5,5,5,0,10/26/15,11/19/15,6,2,0,8,3.21,0,No,,
Close,SW2,Social Emotional,NULL,161,T1 SED PS Units 1-5,5,5,0,10/26/15,11/19/15,6,0,0,6,3.2,0,No,,
Close,SW2,Social Emotional,NULL,162,T1 SED PS Units 1-5,6,6,0,10/26/15,11/19/15,6,0,0,6,3.2,0,No,,
Close,SW2,Social Emotional,NULL,163,T1 SED PS Units 1-5,4,4,0,10/26/15,11/19/15,6,0,0,6,3.2,0,No,,
Open,CH1,Math,NULL,2492,T1 Addition Strategies,5,5,0,2/1/16,3/17/16,13,0,0,13,3.2,0,No,,
Open,CH1,Math,NULL,2496,T1 Rote Counting,5,5,0,2/1/16,3/17/16,11,4,0,15,2.5,0,No,,
Open,SW2,Literacy,NULL,2844,T1 Rhyme,7,7,0,2/24/16,3/17/16,8,5,0,13,3.21111,0,No,,
Open,LP1,Math,NULL,2879,T1 Comparative Value,7,7,0,2/24/16,3/17/16,3,0,0,3,1.3,0,Yes,,
Open,OK4,Math,NULL,2803,T1 Number Symbols,2,2,0,2/23/16,3/17/16,13,0,0,13,3.2,0,No,,
Open,OK3,Math,NULL,2773,T1 Number Symbols,4,4,0,2/10/16,3/17/16,9,1,0,10,3.1,0,No,,
Open,OK4,Math,NULL,2802,T1 Quantification,5,5,0,2/23/16,3/17/16,13,0,0,13,3.3,0,No,,
Open,OK3,Math,NULL,2772,T1 Number Symbols,4,4,0,2/10/16,3/17/16,11,0,0,11,3.3,0,No,,
Close,SW3,Language,11/9/15,172,T1 Oral Comprehension,6,6,0,9/17/15,11/5/15,5,0,0,5,2.2,0,No,,
Close,SW3,Language,11/9/15,173,T1 Oral Comprehension,5,5,0,9/17/15,11/5/15,6,0,0,6,2.2,0,No,,
Close,SW3,Language,11/19/15,174,T1 Expression: Descriptive Language,5,5,0,9/17/15,11/19/15,7,0,0,7,2.3,0,Yes,,
Close,SW3,Language,11/19/15,175,T1 Expression: Descriptive Language,5,5,0,9/17/15,11/19/15,7,0,0,7,2.3,0,Yes,,
Close,SW3,Social Emotional,1/5/16,176,T1 SED PS Units 1-5,6,6,0,9/18/15,1/5/16,16,0,0,16,5.3,0,No,,
Close,SW3,Social Emotional,1/5/16,177,T1 SED PS Units 1-5,5,5,0,9/18/15,1/5/16,16,0,0,16,5.3,0,No,,
Close,SW3,Social Emotional,1/5/16,178,T1 SED PS Units 1-5,5,5,0,9/18/15,1/5/16,12,0,0,12,5.2,0,No,,
Close,SW3,Social Emotional,1/5/16,179,T1 SED PS Units 1-5,5,5,0,9/18/15,1/5/16,14,0,0,14,5.3,0,No,,
Close,SW4,Math,2/24/16,180,T1 One-to-One,2,2,0,9/15/15,10/1/15,6,1,0,7,2.3,0,Yes,,
Open,DP1,Literacy,NULL,2373,T1 Rhyme,8,2,6,2/1/16,3/17/16,4,9,0,13,3.21,1,Yes,,
Open,OK4,Math,NULL,2801,T1 Quantification,6,6,0,2/19/16,3/17/16,13,0,0,13,3.3,0,No,,
Open,OK3,Math,NULL,2768,T2 One-to-One,3,0,3,2/10/16,3/17/16,3,4,0,7,1.3,0,No,,
Close,SW4,Literacy,11/4/15,184,T1 Word Awareness,4,4,0,9/16/15,10/29/15,13,1,0,14,4.3,3,Yes,,
Close,SW4,Literacy,11/4/15,185,T1 Rhyme,6,6,0,9/16/15,10/29/15,16,2,0,18,4.3,1,Yes,,
Close,SW4,Literacy,11/4/15,186,T1 Rhyme,5,0,5,9/16/15,10/29/15,12,2,0,14,4.3,1,Yes,,
Close,SW4,Literacy,11/4/15,187,T1 Rhyme,5,5,0,9/16/15,10/29/15,16,3,0,19,4.3,1,Yes,,
Open,OK3,Math,NULL,2766,T1 Rational Counting,3,3,0,2/11/16,3/17/16,7,1,0,8,2.2,0,No,,
Close,SW4,Language,1/31/16,189,T1 Expression: Descriptive Language,6,3,3,9/17/15,1/15/16,8,0,0,8,2.3,1,Yes,,
Close,SW4,Language,1/31/16,190,T1 Expression: Descriptive Language,7,6,1,9/17/15,1/15/16,7,0,0,7,2.3,1,Yes,,
Close,SW4,Language,1/31/16,191,T1 Conversations,4,4,0,9/17/15,1/15/16,5,0,0,5,2.2,0,No,,
Close,SW4,ELL,NULL,196,T2 ELL Weeks 1-5,1,0,1,9/16/15,10/8/15,8,0,0,8,3.3,0,No,,
Close,SW5,Math,1/22/16,197,T1 Rational Counting,5,5,0,9/15/15,11/10/15,9,0,0,9,3.3,0,Yes,,
Open,OK3,Math,NULL,2765,T1 Addition Strategies,2,2,0,2/11/16,3/17/16,8,0,0,8,3.1,0,No,,
Open,CH8,ELL,NULL,2742,T1 ELL Units 7-8 DIP,4,0,4,2/19/16,3/17/16,0,0,0,0,NULL,6,No,,
Open,PL2,Literacy,NULL,2790,T1 Phonemes,7,7,0,2/22/16,3/17/16,7,12,0,19,3.3,0,No,,
Close,SW5,Literacy,2/5/16,201,T1 Word Awareness,6,3,3,9/15/15,9/24/15,7,0,0,7,2.3,2,Yes,,
Close,SW5,Literacy,11/18/15,202,T1 Rhyme,3,3,0,9/15/15,10/9/15,19,0,0,19,4.3,5,Yes,,
Close,SW5,Literacy,2/5/16,203,T1 Phonemes,4,4,0,9/15/15,9/23/15,5,0,0,5,2.2,1,Yes,,
Close,SW5,Literacy,2/5/16,204,RAZ,6,6,0,9/15/15,12/17/15,18,0,0,18,6.3,6,No,,
Close,SW5,Language,11/18/15,205,T1 Oral Comprehension,4,3,1,9/17/15,10/5/15,5,0,0,5,2.2,1,No,,
Close,SW5,Language,11/18/15,206,T1 Expression: Descriptive Language,7,7,0,9/21/15,10/5/15,3,0,0,3,1.3,0,No,,
Close,SW5,Language,11/18/15,207,T1 Conversations,4,4,0,9/21/15,10/5/15,3,0,0,3,1.3,0,No,,
Close,SW5,Language,2/5/16,208,T1 Conversations,4,4,0,9/21/15,10/5/15,3,0,0,3,1.3,0,No,,
Close,SW5,Social Emotional,NULL,209,T1 SED PK Units 1-5,3,3,0,9/21/15,9/21/15,3,0,0,3,2.3,0,No,,
Close,SW5,Social Emotional,NULL,210,T1 SED PK Units 1-5,7,7,0,9/16/15,9/21/15,4,0,0,4,2.3,0,No,,
Close,SW5,Social Emotional,NULL,211,T1 SED PK Units 1-5,4,4,0,9/16/15,9/21/15,5,0,0,5,2.3,0,No,,
Close,SW5,Social Emotional,NULL,212,T1 SED PK Units 1-5,4,4,0,9/16/15,9/21/15,4,0,0,4,2.3,0,No,,
Close,OK1,Math,11/30/15,213,T1 One-to-One,5,5,0,9/15/15,11/4/15,19,0,0,19,3.4,0,No,,
Close,OK1,Math,11/30/15,214,T1 One-to-One,8,8,0,9/15/15,11/4/15,14,0,0,14,3.4,0,No,,
Close,OK1,Math,11/30/15,215,T1 Rational Counting,6,6,0,9/16/15,11/4/15,11,0,0,11,2.5,0,No,,
Close,OK1,Math,11/30/15,216,T1 Rational Counting,5,5,0,9/16/15,11/4/15,14,0,0,14,2.5,0,No,,
Close,OK1,Literacy,2/1/16,217,T1 Word Awareness,5,5,0,9/15/15,12/10/15,15,2,0,17,4.3,4,Yes,,
Close,OK1,Literacy,2/1/16,218,T1 Word Awareness,5,5,0,9/15/15,12/17/15,14,3,0,17,4.2,5,Yes,,
Close,OK1,Literacy,2/1/16,219,T1 Word Awareness,6,6,0,9/15/15,12/17/15,14,5,0,19,4.1,2,Yes,,
Close,OK1,Literacy,11/30/15,220,T1 Word Awareness,4,4,0,9/15/15,11/17/15,10,0,0,10,4.1,3,No,,
Close,OK1,Language,11/30/15,221,T1 Oral Comprehension,5,5,0,10/20/15,11/16/15,3,0,0,3,3.2,0,No,,
Close,OK1,Language,11/30/15,222,T1 Oral Comprehension,4,4,0,10/20/15,11/16/15,3,0,0,3,3.2,0,No,,
Close,OK1,Language,11/30/15,223,T1 Oral Comprehension,6,6,0,10/20/15,11/16/15,3,0,0,3,3.2,0,No,,
Close,OK1,Language,11/30/15,224,T1 Expression: Descriptive Language,4,4,0,10/20/15,11/16/15,3,0,0,3,3.2,0,No,,
